French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
moralement,морально,<b>Moralement</b> acceptable.,<b>Морально</b> приемлемо.,👼,adv
techniquement,технически,<b>Techniquement</b> possible.,<b>Технически</b> возможно.,⚙️,adv
inlassablement,неутомимо,Travailler <b>inlassablement</b>.,<b>Неутомимо</b> работать.,💪,adv
mollo,потихоньку,Vas-y <b>mollo</b> !,Иди <b>потихоньку</b>!,🐢,adv
délibérément,намеренно,Agir <b>délibérément</b>.,Действовать <b>намеренно</b>.,🎯,adv
spontanément,спонтанно,Réagir <b>spontanément</b>.,Реагировать <b>спонтанно</b>.,⚡,adv
provisoirement,временно,Habiter <b>provisoirement</b> ici.,<b>Временно</b> жить здесь.,⏰,adv
fraîchement,свежо,<b>Fraîchement</b> repeint.,<b>Свежеокрашенный</b>.,🎨,adv
confusément,смутно,Se rappeler <b>confusément</b>.,<b>Смутно</b> помнить.,🤔,adv
premièrement,во-первых,"<b>Premièrement</b>, écoutez-moi.","<b>Во-первых</b>, послушайте меня.",1️⃣,adv
maladroitement,неуклюже,Agir <b>maladroitement</b>.,Действовать <b>неуклюже</b>.,🙃,adv
fréquemment,часто,Voyager <b>fréquemment</b>.,<b>Часто</b> путешествовать.,✈️,adv
imperceptiblement,незаметно,Bouger <b>imperceptiblement</b>.,<b>Незаметно</b> двигаться.,🤫,adv
boum,бум,<b>Boum</b> ! Ça a explosé.,<b>Бум</b>! Взорвалось.,💥,interj
bof,так себе,C'était <b>bof</b>.,Было <b>так себе</b>.,😐,interj
intensément,интенсивно,Regarder <b>intensément</b>.,<b>Пристально</b> смотреть.,👁️,adv
fièrement,гордо,Marcher <b>fièrement</b>.,<b>Гордо</b> шагать.,👑,adv
séparément,раздельно,Vivre <b>séparément</b>.,Жить <b>раздельно</b>.,↔️,adv
sévèrement,сурово,Punir <b>sévèrement</b>.,<b>Сурово</b> наказать.,⚖️,adv
gratis,бесплатно,C'est <b>gratis</b>.,Это <b>бесплатно</b>.,🆓,adv
mutuellement,взаимно,S'aider <b>mutuellement</b>.,Помогать <b>взаимно</b>.,🤝,adv
ouste,вон,<b>Ouste</b> ! Sortez !,<b>Вон</b>! Выходите!,🚪,interj
à tâtons,ощупью,Avancer <b>à tâtons</b>.,Продвигаться <b>ощупью</b>.,👆,adv
légalement,законно,Agir <b>légalement</b>.,Действовать <b>законно</b>.,⚖️,adv
svp,пожалуйста (сокр.),Répondez <b>SVP</b>.,"Ответьте, <b>пожалуйста</b>.",🙏,adv
quatre-vingts,восемьдесят,Il a <b>quatre-vingts</b> ans.,Ему <b>восемьдесят</b> лет.,8️⃣0️⃣,num
éventuellement,возможно,"<b>Éventuellement</b>, on verra.","<b>Возможно</b>, посмотрим.",🤔,adv
ouh,ух,<b>Ouh</b> là là !,<b>Ух</b> ты!,😯,interj
méchamment,злобно,Répondre <b>méchamment</b>.,Ответить <b>злобно</b>.,😠,adv
salement,грязно,Jouer <b>salement</b>.,Играть <b>грязно</b>.,😤,adv
par-derrière,сзади,Attaquer <b>par-derrière</b>.,Атаковать <b>сзади</b>.,⬅️,prep
horriblement,ужасающе,<b>Horriblement</b> froid.,<b>Ужасающе</b> холодно.,🥶,adv
na,на! вот тебе!,"<b>Na</b>, prends ça !","<b>На</b>, получи!",😤,interj
diable,чёрт,<b>Diable</b> ! Que faire ?,<b>Чёрт</b>! Что делать?,😈,interj
inconsciemment,неосознанно,Agir <b>inconsciemment</b>.,Действовать <b>неосознанно</b>.,🧠,adv
mystérieusement,таинственно,Disparaître <b>mystérieusement</b>.,<b>Таинственно</b> исчезнуть.,🔮,adv
convenablement,подобающе,Se comporter <b>convenablement</b>.,Вести себя <b>подобающе</b>.,✅,adv
extraordinairement,необычайно,<b>Extraordinairement</b> doué.,<b>Необычайно</b> одарённый.,⭐,adv
ohé,эй,<b>Ohé</b> ! Quelqu'un ?,<b>Эй</b>! Есть кто?,📢,interj
brièvement,кратко,Répondre <b>brièvement</b>.,Ответить <b>кратко</b>.,📝,adv
dangereusement,опасно,<b>Dangereusement</b> proche.,<b>Опасно</b> близко.,⚠️,adv
essentiellement,по существу,<b>Essentiellement</b> correct.,<b>По существу</b> верно.,✅,adv
distinctement,отчётливо,Parler <b>distinctement</b>.,Говорить <b>отчётливо</b>.,🗣️,adv
holà,эй-эй,"<b>Holà</b>, du calme !","<b>Эй-эй</b>, спокойно!",✋,interj
véritablement,по-настоящему,<b>Véritablement</b> impressionnant.,<b>По-настоящему</b> впечатляюще.,✨,adv
faussement,ложно,<b>Faussement</b> accusé.,<b>Ложно</b> обвинённый.,😔,adv
conformément,согласно,<b>Conformément</b> à la loi.,<b>Согласно</b> закону.,📜,adv
solennellement,торжественно,Jurer <b>solennellement</b>.,<b>Торжественно</b> клясться.,🎭,adv
singulièrement,особенно,<b>Singulièrement</b> beau.,<b>Особенно</b> красив.,✨,adv
joliment,мило,<b>Joliment</b> décoré.,<b>Мило</b> украшено.,🎀,adv
furieusement,яростно; страшно,<b>Furieusement</b> en colère.,<b>Страшно</b> злой.,😤,adv
hourra,ура,<b>Hourra</b> ! On a gagné !,<b>Ура</b>! Мы победили!,🎉,interj
parce qu,потому что (перед гласной),<b>Parce qu'</b>il pleut.,<b>Потому что</b> идёт дождь.,🌧️,conj
à l'improviste,врасплох,Arriver <b>à l'improviste</b>.,Приехать <b>врасплох</b>.,😮,adv
posément,спокойно,Parler <b>posément</b>.,Говорить <b>спокойно</b>.,😌,adv
négligemment,небрежно,Jeter <b>négligemment</b>.,<b>Небрежно</b> бросить.,🤷,adv
franco,прямо,Parler <b>franco</b>.,Говорить <b>прямо</b>.,💬,adv
sauvagement,дико,Attaquer <b>sauvagement</b>.,<b>Дико</b> атаковать.,🐺,adv
primo,во-первых,"<b>Primo</b>, écoutez-moi.","<b>Во-первых</b>, послушайте.",1️⃣,adv
pêle-mêle,вперемешку,Tout <b>pêle-mêle</b>.,Всё <b>вперемешку</b>.,🔀,adv
rebours,наоборот; против,À <b>rebours</b> du courant.,<b>Против</b> течения.,↩️,adv
vous-mêmes,сами (вы),Faites-le <b>vous-mêmes</b>.,Сделайте это <b>сами</b>.,👥,pron
intérieurement,внутренне,Souffrir <b>intérieurement</b>.,Страдать <b>внутренне</b>.,💔,adv
nerveusement,нервно,Rire <b>nerveusement</b>.,<b>Нервно</b> смеяться.,😬,adv
hip,гип! ура!,<b>Hip hip hip</b> hourra !,<b>Гип-гип</b> ура!,🎉,interj
sexuellement,сексуально,Transmis <b>sexuellement</b>.,Передающийся <b>половым путём</b>.,🏥,adv
automatiquement,автоматически,Cela se fait <b>automatiquement</b>.,Это делается <b>автоматически</b>.,⚙️,adv
vraisemblablement,вероятно,Il viendra <b>vraisemblablement</b>.,Он <b>вероятно</b> придёт.,🤔,adv
deuxièmement,во-вторых,"<b>Deuxièmement</b>, écoutez.","<b>Во-вторых</b>, слушайте.",2️⃣,adv
simultanément,одновременно,Agir <b>simultanément</b>.,Действовать <b>одновременно</b>.,⏱️,adv
finement,тонко,Trancher <b>finement</b>.,<b>Тонко</b> нарезать.,🔪,adv
inutilement,напрасно,Attendre <b>inutilement</b>.,Ждать <b>напрасно</b>.,😔,adv
aucunement,никоим образом,<b>Aucunement</b> responsable.,<b>Никоим образом</b> не виноват.,🚫,adv
continuellement,непрерывно,Travailler <b>continuellement</b>.,Работать <b>непрерывно</b>.,🔄,adv
ardemment,пылко; страстно,Désirer <b>ardemment</b>.,<b>Страстно</b> желать.,🔥,adv
généreusement,щедро,Donner <b>généreusement</b>.,<b>Щедро</b> давать.,💰,adv
éperdument,безумно; страстно,Aimer <b>éperdument</b>.,Любить <b>безумно</b>.,💕,adv
aux aguets,настороже,Être <b>aux aguets</b>.,Быть <b>настороже</b>.,👀,adv
momentanément,на мгновение,<b>Momentanément</b> absent.,<b>На мгновение</b> отсутствует.,⏱️,adv
pan,бах,<b>Pan</b> ! Un coup de feu.,<b>Бах</b>! Выстрел.,💥,interj
douloureusement,болезненно,<b>Douloureusement</b> conscient.,<b>Болезненно</b> осознавая.,😣,adv
humblement,смиренно,Demander <b>humblement</b> pardon.,<b>Смиренно</b> просить прощения.,🙏,adv
obscurément,смутно,<b>Obscurément</b> conscient.,<b>Смутно</b> осознавая.,🤔,adv
politiquement,политически,<b>Politiquement</b> correct.,<b>Политически</b> корректно.,🏛️,adv
ding,дзинь,<b>Ding</b> ! La cloche sonne.,<b>Дзинь</b>! Звонит колокол.,🔔,interj
contrebas,внизу,En <b>contrebas</b> de la route.,<b>Ниже</b> дороги.,⬇️,adv
à l'instar,по примеру,<b>À l'instar</b> de son père.,<b>По примеру</b> своего отца.,👨,prep
furtivement,украдкой,Regarder <b>furtivement</b>.,Смотреть <b>украдкой</b>.,👀,adv
formellement,формально,<b>Formellement</b> interdit.,<b>Формально</b> запрещено.,🚫,adv
bonnement,попросту,Tout <b>bonnement</b>.,<b>Попросту</b>.,🤷,adv
avidement,жадно,Lire <b>avidement</b>.,<b>Жадно</b> читать.,📖,adv
gratos,бесплатно (разг.),C'est <b>gratos</b>.,Это <b>бесплатно</b>.,🆓,adv
atrocement,ужасно,<b>Atrocement</b> laid.,<b>Ужасно</b> некрасивый.,😱,adv
théoriquement,теоретически,<b>Théoriquement</b> possible.,<b>Теоретически</b> возможно.,🤔,adv
beurk,фу,<b>Beurk</b> ! C'est dégoûtant !,<b>Фу</b>! Это отвратительно!,🤢,interj
sourdement,глухо,Gronder <b>sourdement</b>.,<b>Глухо</b> ворчать.,🔇,adv
miraculeusement,чудесным образом,<b>Miraculeusement</b> sauvé.,<b>Чудом</b> спасён.,✨,adv
à l'encontre,вопреки; против,Aller <b>à l'encontre</b> de la loi.,Идти <b>вопреки</b> закону.,🚫,prep
j,я (перед гласной),<b>J'</b>aime le café.,<b>Я</b> люблю кофе.,☕,pron
tchao,чао,<b>Tchao</b> les amis !,"<b>Чао</b>, друзья!",👋,interj
moyennant,при условии,<b>Moyennant</b> paiement.,<b>При условии</b> оплаты.,💰,prep
because,потому что (англ.),<b>Because</b> I love you.,<b>Потому что</b> я тебя люблю.,💕,conj
s,если (перед гласной),<b>S'</b>il te plaît.,<b>Если</b> тебе угодно.,🙏,conj
hue,но! (лошади),<b>Hue</b> ! Avance !,<b>Но</b>! Вперёд!,🐴,interj
miam,ням,<b>Miam</b> ! C'est délicieux !,<b>Ням</b>! Вкусно!,😋,interj
hep,эй,<b>Hep</b> ! Attendez !,<b>Эй</b>! Подождите!,📢,interj
vlan,бац,<b>Vlan</b> ! La porte claque.,<b>Бац</b>! Дверь хлопнула.,🚪,interj
basta,баста,<b>Basta</b> ! J'en ai marre !,<b>Баста</b>! Хватит!,✋,interj
bing,бинг! (звук),<b>Bing</b> ! Touché !,<b>Бинг</b>! Попал!,🎯,interj
alléluia,аллилуйя,<b>Alléluia</b> ! Nous avons réussi !,<b>Аллилуйя</b>! Мы справились!,🙌,interj
clac,щёлк! хлоп!,<b>Clac</b> ! La porte se ferme.,<b>Хлоп</b>! Дверь закрывается.,🚪,interj
olé,оле,<b>Olé</b> ! Quel spectacle !,<b>Оле</b>! Какое зрелище!,💃,interj
bye-bye,пока-пока,<b>Bye-bye</b> ! À bientôt !,<b>Пока-пока</b>! До скорого!,👋,interj
quatre-vingt-dix,девяносто (Франция),<b>Quatre-vingt-dix</b> euros.,<b>Девяносто</b> евро.,9️⃣0️⃣,num
plouf,плюх,<b>Plouf</b> ! Il tombe à l'eau.,<b>Плюх</b>! Он упал в воду.,💦,interj
jusqu,до (перед гласной),<b>Jusqu'</b>à demain.,<b>До</b> завтра.,📅,prep
calmos,спокойно,<b>Calmos</b> ! Pas de panique.,<b>Спокойно</b>! Без паники.,😌,interj
zou,ну-ка,<b>Zou</b> ! Au travail !,<b>Ну-ка</b>! За работу!,👉,interj
tintin,ничего не выйдет,<b>Tintin</b> ! Tu n'auras rien.,<b>Шиш</b>! Ничего не получишь.,🤷,interj
tap,тап! (звук),<b>Tap tap tap</b> sur le clavier.,<b>Тап-тап-тап</b> по клавиатуре.,⌨️,interj
nonobstant,несмотря на,<b>Nonobstant</b> les difficultés.,<b>Несмотря на</b> трудности.,🤷,prep
pouah,фу,<b>Pouah</b> ! Quelle odeur !,<b>Фу</b>! Какой запах!,🤢,interj
floc,плюх!,<b>Floc</b> ! dans l'eau.,<b>Плюх</b>! в воду.,💧,interj
berk,фу,<b>Berk</b> ! C'est immonde !,<b>Фу</b>! Это мерзко!,🤮,interj
ouille,ой,<b>Ouille</b> ! Ça fait mal !,<b>Ой</b>! Больно!,😖,interj
bang,бах! бум!,<b>Bang</b> ! Une explosion.,<b>Бах</b>! Взрыв.,💥,interj
pff,пф! тьфу!,"""<b>Pff</b>, c'est nul.""","<b>Пф</b>, это отстой.""",😒,interj
par-dessous,под; снизу,Passer <b>par-dessous</b>.,Пройти <b>снизу</b>.,⬇️,prep
revoici,вот снова,<b>Revoici</b> le printemps !,<b>Вот снова</b> весна!,🌸,prep
bé,ну; бе,"""<b>Bé</b>, je ne sais pas.""","<b>Ну</b>, не знаю.""",🤷,interj
dong,динь-дон!,<b>Ding dong</b> ! La cloche sonne.,<b>Динь-дон</b>! Звонит колокол.,🔔,interj
motus,молчок,<b>Motus</b> et bouche cousue.,<b>Молчок</b> и рот на замок.,🤐,interj
nous-même,сами (мы),Nous l'avons fait <b>nous-mêmes</b>.,Мы сделали это <b>сами</b>.,👥,pron
brrr,бррр (холодно),"<b>Brrr</b>, il fait froid !","<b>Бррр</b>, холодно!",🥶,interj
patati,и тра-та-та,<b>Patati patata</b>.,"<b>И то, и сё</b>.",🗣️,interj
youpi,ура,<b>Youpi</b> ! Les vacances !,<b>Ура</b>! Каникулы!,🎉,interj
par-devant,спереди; перед,Passer <b>par-devant</b>.,Пройти <b>спереди</b>.,➡️,prep
cré,чёрт! (квебек.),<b>Cré</b> bon sang !,<b>Чёрт</b> возьми!,😤,interj
haha,ха-ха!,"<b>Haha</b>, c'est drôle !","<b>Ха-ха</b>, смешно!",😂,interj
peuh,пфе! ха!,"<b>Peuh</b>, je m'en fiche.","<b>Пфе</b>, мне всё равно.",😏,interj
beu,бе! (овца),<b>Bêê</b> ! fait le mouton.,<b>Бе-е</b>! блеет овца.,🐑,interj
wouah,вау,<b>Wouah</b> ! Incroyable !,<b>Вау</b>! Невероятно!,😮,interj
hai,хай! (крик),<b>Haï</b> ! crie le karatéka.,<b>Хай</b>! кричит каратист.,🥋,interj
ouiche,ага; как же!,"<b>Ouiche</b>, tu parles !","<b>Ага</b>, как же!",🙄,interj
mouais,ну да,<b>Mouais</b>... Je ne suis pas convaincu.,<b>Ну да</b>... Я не убеждён.,🤔,interj
hon,хн? (удивление),<b>Hon</b> ? C'est vrai ?,<b>Хм</b>? Правда?,🤔,interj
dia,тпру! (лошади),<b>Dia</b> ! À gauche !,<b>Тпру</b>! Налево!,🐴,interj
tagada,тагада (галоп),<b>Tagada tagada</b> !,<b>Цок-цок-цок</b>!,🐎,interj
pasque,потому что (разг.),<b>Pasque</b> c'est comme ça.,<b>Потому что</b> так.,🤷,conj
pfft,пфф! (раздражение),"<b>Pfft</b>, c'est n'importe quoi.","<b>Пфф</b>, это чушь.",😤,interj
patata,и всё такое,<b>Patati patata</b>.,<b>То да сё</b>.,🗣️,interj
ploc,плюх! кап!,"<b>Ploc ploc</b>, la pluie.","<b>Кап-кап</b>, дождь.",💧,interj
miam-miam,ням-ням,"<b>Miam-miam</b>, c'est bon !","<b>Ням-ням</b>, вкусно!",😋,interj
jusqu'à,до (+ сущ.),<b>Jusqu'à</b> demain.,<b>До</b> завтра.,📅,prep
hisse,взяли! (тяжесть),<b>Oh hisse</b> !,<b>Взяли</b>!,💪,interj
gnagnagna,бла-бла-бла,<b>Gnagnagna</b>...,<b>Бла-бла-бла</b>...,🗣️,interj
meuh,му-у (корова),<b>Meuh</b> ! fait la vache.,<b>Му-у</b>! мычит корова.,🐄,interj
mil,тысяча (в датах),L'an <b>mil</b>.,<b>Тысячный</b> год.,📆,num
pouce,стоп! пауза!,<b>Pouce</b> ! On arrête.,<b>Стоп</b>! Прекращаем.,✋,interj
caramba,карамба!,<b>Caramba</b> !,<b>Карамба</b>!,😱,interj
puissamment,мощно; весьма,<b>Puissamment</b> armé.,<b>Мощно</b> вооружён.,💪,conj
clic,щёлк! клик!,<b>Clic</b> ! sur le bouton.,<b>Клик</b>! по кнопке.,🖱️,interj
flac,плюх! шлёп!,<b>Flac</b> ! dans la boue.,<b>Шлёп</b>! в грязь.,💧,interj
dring,дзинь!,<b>Dring</b> ! Le téléphone sonne.,<b>Дзинь</b>! Звонит телефон.,📞,interj
rebelote,повторяем,Et <b>rebelote</b> ! On recommence.,И <b>повторяем</b>! Начинаем заново.,🔄,interj
lala,ля-ля,"<b>Lala</b>, je chante.","<b>Ля-ля</b>, пою.",🎵,interj
banco,идёт,<b>Banco</b> ! Marché conclu.,<b>Идёт</b>! По рукам.,🤝,interj
taïaut,ату! (охота),<b>Taïaut</b> ! À la chasse !,<b>Ату</b>! На охоту!,🦊,interj
broum,врум! (мотор),<b>Broum broum</b> ! La moto.,<b>Врум-врум</b>! Мотоцикл.,🏍️,interj
pouf,пуф! бух!,<b>Pouf</b> ! Il est tombé.,<b>Бух</b>! Он упал.,💨,interj
bim,бим! бам!,<b>Bim</b> ! Dans le mille !,<b>Бим</b>! В яблочко!,🎯,interj
prosit,прозит! будем!,<b>Prosit</b> !,<b>Прозит</b>!,🍻,interj
pschitt,пшшш! (газировка),<b>Pschitt</b> ! La canette s'ouvre.,<b>Пшшш</b>! Банка открывается.,🥤,interj
houhou,ау! эй!,"""<b>Houhou</b>, il y a quelqu'un ?""","<b>Ау</b>, есть кто?""",👋,interj
youp,оп!,<b>Youp</b> ! En avant !,<b>Оп</b>! Вперёд!,🎉,interj
badaboum,бадабум! (грохот),<b>Badaboum</b> ! Tout est tombé.,<b>Бадабум</b>! Всё упало.,💥,interj
vroum,врум! (мотор),<b>Vroum vroum</b> ! La voiture.,<b>Врум-врум</b>! Машина.,🚗,interj
inch allah,иншалла (если Бог захочет),"<b>Inch Allah</b>, ça ira.","<b>Иншалла</b>, всё будет хорошо.",🙏,interj
hurrah,ура!,<b>Hurrah</b> ! On a gagné !,<b>Ура</b>! Мы победили!,🎉,interj
hare,аре! (воскл.),<b>Haré</b> krishna.,<b>Харе</b> кришна.,🙏,interj
houlà,ого! ого-го!,"<b>Houlà</b>, attention !","<b>Ого</b>, осторожно!",😮,interj
damned,чёрт! (англ.),<b>Damned</b> !,<b>Чёрт</b>!,😠,interj
taratata,та-ра-та-та,"<b>Taratata</b>, pas d'excuses !","<b>Та-ра-та</b>, без отговорок!",🙅,interj
niet,нет (рус.),"<b>Niet</b>, c'est non.",<b>Нет</b> — это нет.,🚫,interj
quelqu'une,кто-нибудь (ж.р.),<b>Quelqu'une</b> peut m'aider ?,<b>Кто-нибудь</b> может помочь?,👩,pron
dig,диг! (звук),<b>Dig ding</b> ! La sonnette.,<b>Динь-динь</b>! Звонок.,🔔,interj
nonante,девяносто (Бельгия),<b>Nonante</b> francs.,<b>Девяносто</b> франков.,🇧🇪,num
splash,плюх! всплеск!,<b>Splash</b> ! dans la piscine.,<b>Плюх</b>! в бассейн.,💦,interj
pst,псст! эй!,<b>Pst</b> ! Viens ici.,<b>Псст</b>! Иди сюда.,🤫,interj
balpeau,фигушки! (арго),<b>Balpeau</b> ! Tu n'auras rien.,<b>Фигушки</b>! Ничего не получишь.,🙅,interj
patatras,бабах! (падение),<b>Patatras</b> ! Tout s'écroule.,<b>Бабах</b>! Всё рухнуло.,💥,interj
snif,хнык (плач),"<b>Snif snif</b>, c'est triste.","<b>Хнык-хнык</b>, это грустно.",😢,interj
jusqu'au,до (м.р. + гласная),<b>Jusqu'au</b> bout.,<b>До</b> конца.,🎯,prep
pouh,фу! тьфу!,"<b>Pouh</b>, ça pue !","<b>Фу</b>, воняет!",🤢,interj
vlouf,бульк! (вода),<b>Vlouf</b> ! dans l'eau.,<b>Бульк</b>! в воду.,💧,interj
sniff,хнык (сопли),"<b>Sniff</b>, j'ai froid.","<b>Хнык</b>, мне холодно.",🤧,interj
oust,брысь! кыш!,<b>Oust</b> ! Dehors !,<b>Брысь</b>! Вон!,👉,interj
vroom,врум! (мотор),<b>Vroom</b> ! La moto démarre.,<b>Врум</b>! Мотоцикл заводится.,🏍️,interj
tchin tchin,чин-чин! (тост),<b>Tchin tchin</b> !,<b>Чин-чин</b>!,🥂,interj
atchoum,апчхи!,<b>Atchoum</b> ! À tes souhaits.,<b>Апчхи</b>! Будь здоров.,🤧,interj
pouic,пик! (писк),<b>Pouic pouic</b> ! fait la souris.,<b>Пик-пик</b>! пищит мышь.,🐭,interj
hi-han,иа! (осёл),<b>Hi-han</b> ! brait l'âne.,<b>Иа</b>! ревёт осёл.,🫏,interj
flop,хлоп! провал!,"<b>Flop</b>, le film est un échec.","<b>Флоп</b>, фильм провалился.",📉,interj
gna gna,бу-бу-бу (нытьё),"<b>Gna gna gna</b>, arrête de pleurer !","<b>Бу-бу-бу</b>, хватит ныть!",😤,interj
hem,гм; хм,"<b>Hem</b>, je réfléchis.","<b>Гм</b>, я думаю.",🤔,interj
pin-pon,пин-пон (сирена),<b>Pin-pon pin-pon</b> ! Les pompiers.,<b>Пин-пон</b>! Пожарные.,🚒,interj
prout,пук! пердёж,<b>Prout</b> ! Oh pardon !,"<b>Пук</b>! Ой, простите!",💨,interj
tchin-tchin,чин-чин! (тост),"<b>Tchin-tchin</b>, à ta santé !","<b>Чин-чин</b>, за твоё здоровье!",🥂,interj
cot cot codec,ко-ко-ко (курица),<b>Cot cot codec</b> ! fait la poule.,<b>Ко-ко-ко</b>! кудахчет курица.,🐔,interj
n',не (перед гласной),<b>N'</b>oublie pas !,<b>Не</b> забудь!,☝️,pron
am stram gram,эники-беники,<b>Am stram gram</b>...,<b>Эники-беники</b>...,🎲,interj
houp,оп-ля!,<b>Houp</b>-là !,<b>Оп-ля</b>!,🤸,interj
septante,семьдесят (Бельгия),<b>Septante</b> ans.,<b>Семьдесят</b> лет.,🇧🇪,num
clic-clac,щёлк-щёлк; клик-клак,"<b>Clic-clac</b>, le canapé.","<b>Клик-клак</b>, диван.",🛋️,interj
psitt,псст! (оклик),<b>Psitt</b> ! Par ici !,<b>Псст</b>! Сюда!,🤫,interj
eurêka,эврика,<b>Eurêka</b> ! J'ai trouvé !,<b>Эврика</b>! Нашёл!,💡,interj
pchitt,пшшш! (брызги),"<b>Pchitt</b>, le parfum.","<b>Пшш</b>, духи.",🧴,interj
versus,против,France <b>versus</b> Allemagne.,Франция <b>против</b> Германии.,⚔️,prep
bouf,пыф! (вздох),"<b>Bouf</b>, je suis fatigué.","<b>Пыф</b>, я устал.",😮‍💨,interj
turlututu,тру-ля-ля (отказ),"<b>Turlututu</b>, chapeau pointu !","<b>Тру-ля-ля</b>, шиш тебе!",🎭,interj
badabam,бадабам! (удар),<b>Badabam</b> ! Quel coup !,<b>Бадабам</b>! Какой удар!,💥,interj
octante,восемьдесят (Швейцария),<b>Octante</b> personnes.,<b>Восемьдесят</b> человек.,🇨🇭,num
qui-vive,кто идёт? настороже,Être sur le <b>qui-vive</b>.,Быть <b>настороже</b>.,👀,interj
afin d,чтобы (перед гласной),<b>Afin d'</b>éviter.,<b>Чтобы</b> избежать.,🎯,prep
rantanplan,ра-та-та-та (барабан),<b>Rantanplan</b> ! Le tambour.,<b>Ра-та-та</b>! Барабан.,🥁,interj
merdasse,блин! (эвфемизм),"<b>Merdasse</b>, j'ai oublié !","<b>Блин</b>, я забыл!",🤦,interj
beuark,фу! бе!,"<b>Beuark</b>, c'est dégoûtant !","<b>Фу</b>, это отвратительно!",🤮,interj
tandis qu,тогда как (перед гласной),<b>Tandis qu'</b>il dort.,<b>Тогда как</b> он спит.,😴,conj
afin qu,чтобы (+ subj.),<b>Afin qu'</b>il comprenne.,<b>Чтобы</b> он понял.,💡,conj
balle-peau,шиш! фигушки!,<b>Balle-peau</b> ! Pas question !,<b>Фигушки</b>! Не вопрос!,🙅,interj
cric-crac,крик-крак (хруст),"<b>Cric-crac</b>, le bois craque.","<b>Крик-крак</b>, дерево трещит.",🪵,interj
par-dedans,изнутри,Entrer <b>par-dedans</b>.,Войти <b>изнутри</b>.,🚪,prep
pfutt,пфф! (исчезновение),"<b>Pfutt</b>, disparu !","<b>Пфф</b>, исчез!",💨,interj
rataplan,ра-та-план (барабан),<b>Rataplan</b> ! Le tambour roule.,<b>Ра-та-план</b>! Барабан бьёт.,🥁,interj
tacatac,та-та-та (стрельба),<b>Tacatac</b> ! La mitrailleuse.,<b>Та-та-та</b>! Пулемёт.,🔫,interj
tacatacatac,та-та-та-та (очередь),<b>Tacatacatac</b> !,<b>Та-та-та-та</b>!,🔫,interj
zzzz,зззз (сон),<b>Zzzz</b>... il dort.,<b>Зззз</b>... он спит.,😴,interj
lorsqu,когда (перед гласной),<b>Lorsqu'</b>il arrive.,<b>Когда</b> он приходит.,⏰,conj
zzz,ззз (сон),<b>Zzz</b>...,<b>Ззз</b>...,😴,interj
patapouf,бум! увалень,<b>Patapouf</b> ! Il est tombé.,<b>Бум</b>! Он упал.,🤸,interj
puisqu,раз уж; поскольку,<b>Puisqu'</b>il le faut.,<b>Раз уж</b> надо.,🤷,conj
gué,гуэ! (возглас),C'est la mère <b>Gué</b>.,Это матушка <b>Гуэ</b>.,🎵,interj
ollé,оле!,<b>Ollé</b> !,<b>Оле</b>!,💃,interj
re-belote,и снова-здорово,<b>Re-belote</b> ! Encore lui !,<b>И снова-здорово</b>! Опять он!,🔄,interj
non,нет,"<b>Non</b>, merci, je n'ai pas faim.","<b>Нет</b>, спасибо, я не голоден.",❌,
ou,или,Tu préfères le café <b>ou</b> le thé ?,Ты предпочитаешь кофе <b>или</b> чай?,🔀,
une main,рука (кисть),Lève la <b>main</b> si tu as une question.,"Подними <b>руку</b>, если у тебя есть вопрос.",✋,
un enfant,ребёнок,Cet <b>enfant</b> parle déjà trois langues.,Этот <b>ребёнок</b> уже говорит на трёх языках.,👶,
une maison,дом,Nous avons acheté une <b>maison</b> en banlieue de Montréal.,Мы купили <b>дом</b> в пригороде Монреаля.,🏠,
une mort,смерть,La <b>mort</b> de son chat l'a beaucoup attristé.,<b>Смерть</b> кота его очень опечалила.,💀,
une voiture,машина,J'ai besoin d'une <b>voiture</b> pour aller au travail.,"Мне нужна <b>машина</b>, чтобы ехать на работу.",🚗,
s'asseoir,садиться,"<b>Assieds</b>-toi, on va parler.","<b>Садись</b>, поговорим.",🪑,
une part,часть; доля,Je veux ma <b>part</b> du gâteau.,Я хочу свою <b>долю</b> торта.,🍰,
se souvenir,помнить,Je me <b>souviens</b> de notre première rencontre.,Я <b>помню</b> нашу первую встречу.,🧠,
une chance,удача; шанс,Bonne <b>chance</b> pour ton examen !,Удачи на экзамене!,🍀,
s'excuser,извиняться,Je m'<b>excuse</b> pour le retard.,<b>Извиняюсь</b> за опоздание.,🙏,
une fin,конец,La <b>fin</b> du film est très triste.,<b>Конец</b> фильма очень грустный.,🔚,
une tour,башня; тур,La <b>tour</b> Eiffel est à Paris.,Эйфелева <b>башня</b> в Париже.,🗼,
un chef,начальник; шеф-повар,Mon <b>chef</b> est très exigeant.,Мой <b>начальник</b> очень требовательный.,👨‍💼,
un cours,курс; занятие,Je suis des <b>cours</b> de francisation.,Я хожу на <b>курсы</b> франсизации.,📚,
se taire,молчать,"<b>Tais</b>-toi, j'essaie de me concentrer.","<b>Помолчи</b>, я пытаюсь сосредоточиться.",🤫,
s'amuser,развлекаться,On s'est bien <b>amusés</b> à la fête.,Мы хорошо <b>повеселились</b> на вечеринке.,🎉,
